"Идентификатор";"Элемент";"Корпус";"Количество";"Номинал";"Supplier and ref";
1;"L1";"c_0603";1;"FERRITE_CHIP";;;
2;"C5,C4,C2,C1";"c_0603";4;"0,1uF";;;
3;"C6,C3";"c_tant_B";2;"10uF";;;
4;"X1";"KINDLE_UART";1;"KINDLE_UART";;;
5;"U2";"QSOP28";1;"FT232R";;;
6;"J1";"USB_MICRO_AB";1;"USB";;;
7;"U1";"sc70-5";1;"MAX8511";;;
